study,source_file,object_ref,match_pattern,replacement,expected_matches,approval_status,source_pdf_page,verification_note,candidate_text,classification,review_priority,ledger_status,recommended_action,object_label,action
study_213,main_paper,#/texts/39,13\ m\ g,13 μg,1,approved,2,,13 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_213,main_paper,#/texts/68,20\ m\ g,20 μg,1,approved,3,,20 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/69,8900\ m\ g,8900 μg,1,approved,3,,8900 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/70,23\ m\ g,23 μg,1,approved,3,,23 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/80,595\ m\ m,595 μm,1,approved,3,,595 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",footnote,
study_213,main_paper,#/texts/91,20\ m\ g,20 μg,1,approved,4,,20 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_213,main_paper,#/texts/297,23\ m\ g,23 μg,1,approved,5,,23 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_215,main_paper,#/texts/50,0\.45\ m\ m,0.45 μm,1,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_215,main_paper,#/texts/51,1\.8\ m\ m,1.8 μm,1,approved,3,,1.8 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_218,main_paper,#/texts/29,1\.86\ m\ g,1.86 μg,1,approved,2,,1.86 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_218,main_paper,#/texts/49,241\.5\s+m\s+M\b,241.5 μM,1,approved,3,Source PDF visually verified: master batch concentration is 241.5 μM.,241.5 m M,ambiguous_molarity,resolved,already_approved,No action: existing approved decision will apply.,text,
study_218,main_paper,#/texts/63,400\ m\ m,400 μm,1,approved,4,,400 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_218,main_paper,#/texts/67,0\.45\ m\ m,0.45 μm,1,approved,4,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_218,main_paper,#/texts/67,120\.8\s+m\s+M\b,120.8 μM,1,approved,4,Source PDF visually verified: NMR-sample concentration is 120.8 μM.,120.8 m M,ambiguous_molarity,resolved,already_approved,No action: existing approved decision will apply.,text,
study_218,main_paper,#/texts/67,150\ m\ m,150 μm,1,approved,4,,150 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_218,main_paper,#/texts/67,241\.5\s+m\s+M\b,241.5 μM,1,approved,4,Source PDF visually verified: 100 mg/L PFOA is reported as 241.5 μM.,241.5 m M,ambiguous_molarity,resolved,already_approved,No action: existing approved decision will apply.,text,
study_218,main_paper,#/texts/67,241\.5\s+m\s+Min\b,241.5 μM in,1,approved,4,Source PDF visually verified: the attached token m Min means μM in.,241.5 m Min,ambiguous_molarity,resolved,already_approved,No action: existing approved decision will apply.,text,
study_218,main_paper,#/texts/67,300\ m\ L,300 μL,2,approved,4,,300 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_218,main_paper,#/texts/77,241\.5\s+m\s+M\b,241.5 μM,1,approved,4,Source PDF visually verified: all PFAS were dosed at 241.5 μM.,241.5 m M,ambiguous_molarity,resolved,already_approved,No action: existing approved decision will apply.,text,
study_220,main_paper,#/texts/34,200\ l\ m,200 μm,1,approved,3,,200 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_220,main_paper,#/texts/39,0\.45\ l\ m,0.45 μm,1,approved,3,,0.45 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_254,main_paper,#/tables/0,(?<![A-Za-z])m\ g\b,μg,1,approved,2,Source PDF visually verified: Table 3 units are μg/g and L/μg.,m g,approved_repair,high,resolved,No action: approved repair will apply.,table,
study_254,main_paper,#/texts/27,700\ m\ m,700 μm,1,approved,2,,700 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
